0	0	0	0
0	0	0	2
0	0	0	5
0	0	0	8
0	1	0	10
0	4	0	10
0	8	0	9
1	13	0	7
4	18	0	3
7	21	0	1
9	23	0	2
13	23	0	5
18	25	0	9
23	32	0	12
29	48	0	16
36	72	0	19
41	105	0	19
42	147	0	17
39	195	0	14
33	247	0	11
28	305	0	11
26	367	0	14
27	433	0	19
30	500	0	26
30	565	0	31
26	622	0	34
20	666	0	32
13	691	0	27
6	698	0	22
0	687	0	20
0	661	0	24
4	623	0	35
15	577	0	51
29	525	0	71
45	467	0	91
64	406	0	112
80	346	0	136
91	288	1	165
102	237	6	201
114	197	15	244
129	170	26	290
147	156	43	337
168	155	65	379
187	169	91	414
201	196	122	444
209	237	161	469
215	291	204	490
220	355	252	506
227	424	299	512
238	494	342	507
252	557	377	489
266	608	404	459
279	644	422	421
288	663	433	383
293	663	437	348
294	646	439	318
291	613	437	293
283	564	437	268
269	500	443	241
250	428	458	209
226	351	486	177
200	275	529	146
174	209	584	119
149	154	647	99
125	112	707	84
102	82	758	71
82	61	790	58
65	47	804	45
51	38	799	36
41	33	780	33
34	31	751	36
29	31	716	42
23	32	674	49
17	31	622	53
10	29	559	51
5	25	483	46
1	23	399	39
0	25	309	36
0	32	222	38
2	46	141	46
4	64	82	59
8	86	39	76
15	112	13	96
25	142	0	117
39	176	0	138
57	215	0	160
81	255	0	181
111	294	0	199
150	326	0	215
196	348	0	226
252	359	0	229
315	359	0	226
384	348	4	215
453	329	19	197
514	304	43	174
563	275	79	147
592	244	128	120
598	209	190	92
579	172	259	66
540	134	334	42
484	97	412	25
417	64	491	12
344	37	566	3
272	18	636	1
201	7	697	3
135	1	750	4
83	0	792	7
44	0	822	11
18	0	836	15
3	0	830	20
0	0	800	26
0	0	746	31
0	0	668	33
0	0	573	32
0	0	470	29
0	0	366	25
6	0	270	23
30	0	187	24
73	0	116	29
134	0	67	36
214	0	33	41
312	0	12	42
414	0	0	39
516	1	0	33
614	2	9	25
704	2	27	19
781	2	52	16
841	2	82	14
879	1	123	14
893	0	166	13
881	0	211	10
839	0	259	7
767	0	309	4
669	1	359	2
552	3	408	0
428	6	454	0
310	8	501	0
208	9	553	0
129	9	613	0
72	8	678	0
38	6	748	0
17	6	815	0
6	8	873	0
0	13	916	0
0	23	943	0
0	39	950	0
0	62	934	0
0	95	888	0
0	138	812	0
0	187	708	0
0	237	580	0
0	283	443	0
7	319	308	1
25	341	190	2
55	348	105	3
97	345	47	3
152	335	14	3
210	325	0	2
264	320	0	1
309	325	0	0
339	343	0	0
351	372	0	0
343	408	0	0
317	446	0	0
274	480	6	0
219	502	19	0
158	508	44	0
102	494	84	0
58	457	139	0
26	399	206	1
7	328	278	1
0	248	347	1
0	171	403	1
0	105	443	0
0	57	465	0
0	24	474	0
0	6	476	0
0	0	476	0
0	0	477	0
0	0	483	0
0	0	493	0
0	0	508	1
0	0	529	2
0	0	558	2
0	0	591	2
0	0	622	2
0	0	643	1
0	0	643	0
0	0	618	0
0	0	569	0
0	0	506	0
0	0	442	0
0	0	392	0
0	0	367	0
0	0	370	0
0	0	397	0
0	0	442	0
0	0	490	0
0	0	534	1
0	0	566	1
0	0	585	1
0	0	591	1
0	0	592	0
0	0	592	1
0	0	597	5
0	0	608	11
0	0	624	17
0	0	641	22
0	0	653	25
0	1	652	23
0	4	634	18
0	10	594	12
0	16	538	6
0	23	475	1
0	28	417	0
0	30	378	0
0	29	365	0
0	25	381	0
0	20	419	0
0	16	468	0
0	14	514	1
0	12	549	4
0	11	565	7
0	8	558	12
0	6	527	18
0	4	472	23
0	1	396	28
0	0	306	31
13	0	211	32
39	0	130	32
83	1	68	34
151	2	26	35
251	3	3	37
373	4	8	38
511	6	25	36
653	8	52	31
785	11	91	24
892	14	148	16
957	17	213	8
973	17	285	3
939	15	356	0
858	11	419	0
739	7	467	0
597	3	495	2
447	1	503	5
302	0	499	7
183	0	496	9
97	0	505	10
40	0	536	8
8	0	593	6
0	0	672	3
0	0	761	1
0	0	850	0
0	0	927	0
0	0	981	0
0	0	1005	0
0	0	999	0
0	0	966	0
0	0	915	1
0	1	855	2
0	2	803	3
0	2	765	3
0	2	748	3
0	2	748	2
0	2	758	1
0	1	768	0
0	0	769	0
0	0	755	0
0	1	731	0
0	2	701	0
0	4	673	0
1	5	654	1
1	5	646	3
2	4	649	4
2	3	656	8
2	2	659	11
1	7	648	18
1	20	616	26
0	44	558	35
0	81	474	43
0	136	371	48
0	207	259	50
0	290	162	50
0	377	86	48
2	457	34	45
14	517	5	41
36	549	0	34
68	549	0	26
112	521	0	18
166	472	0	10
228	413	0	5
297	352	0	2
371	292	0	3
450	236	0	3
527	186	0	3
598	141	0	3
655	104	0	2
698	74	0	0
727	51	0	0
746	36	0	1
757	25	0	4
763	18	0	7
763	13	0	13
755	9	0	21
740	7	0	28
722	5	0	33
708	4	0	35
703	3	0	32
707	5	0	25
719	7	0	17
730	12	0	9
733	22	0	3
718	41	0	0
682	71	0	0
624	119	0	0
546	185	0	0
455	269	0	0
357	366	0	0
261	464	0	0
179	553	0	2
118	618	0	6
88	650	0	11
91	643	0	16
124	598	0	22
183	520	0	28
257	423	0	32
335	318	0	35
410	216	0	36
472	131	0	35
518	70	0	32
547	30	0	28
561	7	0	23
566	0	0	19
570	0	0	15
579	0	0	11
596	0	0	7
617	1	0	4
